CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;TITULARIDAD
Madrid-Sur;28073288;EEI;EL SACAPUNTAS;Calle De Las Ciencias, 27 ;Fuenlabrada;-;28943;914986125;914986125;Público;
Madrid-Este;28068384;EEI;EL SASTRECILLO VALIENTE;Calle Mayor, 71 ;Torres de la Alameda;-;28813;918868961;-;Público;
Madrid-Sur;28043946;EEI;EL SOTO;Avenida Iker Casillas, 23 ;Móstoles;-;28935;916131690;916131690;Público;
Madrid-Este;28044008;EEI;EL TAMBOR;Calle De Nazario Calonge, 1 ;San Fernando de Henares;-;28830;916690204;916737699;Público;
Madrid-Oeste;28043818;EEI;EL TOMILLAR;Calle Carretera Torrelodones, 25 ;Torrelodones;-;28250;918592893;918596420;Público;
Madrid-Sur;28047265;EEI;EL TREBOL;Calle Del Trébol, 2 ;Serranillos del Valle;-;28979;918175871;-;Público;
Madrid-Sur;28065358;EEI;FABULAS Y LEYENDAS;Calle Nueva York, 12 ;Móstoles;-;28938;916473102;916473102;Público;
Madrid-Este;28046081;EEI;FANTASIA;Calle Rosalía De Castro, 5 ;San Martín de la Vega;-;28330;918946565;918946565;Público;
Madrid-Sur;28043855;EEI;FORTUNA;Calle Faro, 1 ;Leganés;-;28917;916197568;916129096;Público;
Madrid-Norte;28072341;EEI;FUENTELUCHA;Avenida De La Ilusión, 20 ;Alcobendas;-;28100;911722892;-;Público;
Madrid-Este;28047745;EEI;GALATEA;Calle Fuente Del Sol, 85 ;Alcalá de Henares;-;28803;918808570;918808714;Público;
Madrid-Sur;28047629;EEI;GALLIPATOS;Avenida De Nuevo Versalles, 14 ;Fuenlabrada;-;28942;916893282;916893282;Público;
Madrid-Este;28048610;EEI;GLORIA FUERTES;Calle León Felipe, 24 ;Arganda del Rey;-;28500;918700958;918700958;Público;
Madrid-Norte;28049110;EEI;GLORIA FUERTES;Avenida De España, S/n ;Soto del Real;-;28791;918476915;918479616;Público;
Madrid-Sur;28048634;EEI;GLORIA FUERTES;Calle De Las Islas Cíes, 2 ;Alcorcón;-;28924;916128962;916128962;Público;
Madrid-Este;28047435;EEI;GRIMM;Calle Aloe, S/n ;Rivas-Vaciamadrid;-;28522;916665837;916665837;Público;
Madrid-Sur;28064111;EEI;JACARANDA;Calle Libertad, 108 ;Valdemoro;-;28341;918014607;918019817;Público;
Madrid-Sur;28044173;EEI;JARDINES DE ARANJUEZ;Calle Del Primero De Mayo, 3 ;Aranjuez;-;28300;918917960;918917960;Público;
Madrid-Sur;28043843;EEI;JEROMIN;Calle Río Gallego, 9 ;Leganés;-;28913;916807378;916807378;Público;
Madrid-Sur;28043934;EEI;JOAN MIRO;Calle París, 7 ;Móstoles;-;28938;916454994;916454994;Público;
Madrid-Sur;28072405;EEI;JUAN FARIAS;Calle Toledo, 18 ;Villaviciosa de Odón;-;28670;916161281;916161281;Público;
Madrid-Oeste;28066193;EEI;JUAN RAMON JIMENEZ;Calle Ramón Y Cajal, 5 ;Rozas de Madrid, Las;-;28232;916405552;916405552;Público;
Madrid-Este;28068360;EEI;JUAN SIN MIEDO;Avenida Constitución, 217 ;Torrejón de Ardoz;-;28850;674334738;-;Público;
Madrid-Sur;28070342;EEI;JUANA LLANDRES;Calle San Isidro, S/n ;Sevilla la Nueva;-;28609;918130787;-;Público;
Madrid-Sur;28074013;EEI;KOALA;Avenida De María Guerrero, 161 ;Leganés;-;28919;916861031;-;Público;
Madrid-Sur;28058159;EEI;LA ALAMEDA;Calle De Concepción Arenal, 15 ;Fuenlabrada;-;28942;914869995;-;Público;
Madrid-Norte;28047071;EEI;LA CABRERA;Calle De Paraguay, 17 ;Cabrera, La;-;28751;918688512;918688512;Público;
Madrid-Este;28048762;EEI;LA CANDELARIA;Calle Abedul, 1 ;Ajalvir;-;28864;918844380;918844380;Público;
Madrid-Este;28044197;EEI;LA CAÑADA;Avenida De Berlín, 25 ;Coslada;-;28822;916733886;916733886;Público;
Madrid-Este;28046935;EEI;LA CAÑADA DE ARDOZ;Calle Cañada, 52 ;Torrejón de Ardoz;-;28850;916776716;916776716;Público;
Madrid-Norte;28046984;EEI;LA CHOPERA;Calle Del Pintor Velázquez, 38 ;Alcobendas;-;28100;916617508;916597676;Público;
Madrid-Este;28070925;EEI;LA CIGARRA Y LA HORMIGA;Calle Telémaco, S/n ;Torrejón de Ardoz;-;28850;914953153;-;Público;
Madrid-Oeste;28046959;EEI;LA CIGÜEÑA MARIA;Avenida De España, 229 ;Rozas de Madrid, Las;-;28231;916345786;916345786;Público;
Madrid-Norte;28044033;EEI;LA COMBA;Avenida De Aragón, 1 ;San Sebastián de los Reyes;-;28702;916586846;916547064;Público;
Madrid-Sur;28070241;EEI;LA COMBA;Calle Alcalde Pedro González González, 26 ;Leganés;-;28914;605162903;-;Público;
Madrid-Este;28047526;EEI;LA COMETA;Calle A Córdoba, 2 ;Alcalá de Henares;-;28804;918832356;918832356;Público;
Madrid-Oeste;28047541;EEI;LA DEHESA;Calle De Alfonso Xiii, 18 ;Escorial, El;-;28280;918907253;918905250;Público;
Madrid-Oeste;28065310;EEI;LA ENCINA;Calle Volturno, S/n ;Pozuelo de Alarcón;-;28223;915180311;915180311;Público;
Madrid-Este;28064287;EEI;LA FLAUTA MAGICA;Calle Gonzalo Torrente Ballester, S/n ;Alcalá de Henares;-;28805;918020595;918026221;Público;
Madrid-Norte;28046996;EEI;LA FORESTA;Sector Foresta, 15 ;Tres Cantos;-;28760;918038201;918038201;Público;
Madrid-Sur;28058160;EEI;LA LINTERNA MAGICA;Calle De Alicante, S/n ;Fuenlabrada;-;28945;916062543;914989048;Público;
Madrid-Norte;28048579;EEI;LA LOCOMOTORA;Avenida De Pontevedra, 2 ;San Sebastián de los Reyes;-;28702;916547281;916521682;Público;
Madrid-Sur;28047575;EEI;LA LUNA;Calle Campos De Castilla, S/n ;Getafe;-;28909;916848752;916848752;Público;
Madrid-Oeste;28071565;EEI;LA MARAZUELA;Calle De San Juan Bautista C/v Cerro De La Paloma ;Rozas de Madrid, Las;-;28231;-;-;Público;
Madrid-Sur;28072077;EEI;LA MIMOSA;Calle De La Tía Javiera, 4 ;Fuenlabrada;-;28942;918317148;917693095;Público;
Madrid-Sur;28047401;EEI;LA NORIA;Avenida Francia, 22 ;Leganés;-;28916;916803486;916803486;Público;
Madrid-Sur;28044227;EEI;LA PIÑATA;Calle Costa Rica, 26 ;Fuenlabrada;-;28945;916979647;916979647;Público;
